year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
1996,VNM,AZE,ALL,11699,0.00%
1996,VNM,BGD,ALL,19507587.17,0.06%
1996,VNM,CHN,ALL,61753457.85,0.18%
1996,VNM,GEO,ALL,1205312,0.00%
1996,VNM,HKG,ALL,46278571.76,0.13%
1996,VNM,IDN,ALL,29993562.4,0.09%
1996,VNM,IND,ALL,26675324.23,0.08%
1996,VNM,JPN,ALL,281380797.4,0.81%
1996,VNM,KGZ,ALL,184398,0.00%
1996,VNM,MAC,ALL,12953.29,0.00%
1996,VNM,MDV,ALL,77614.68,0.00%
1996,VNM,MNG,ALL,101699,0.00%
1996,VNM,MYS,ALL,412131.3,0.00%
1996,VNM,SAU,ALL,38024293.23,0.11%
1996,VNM,SGP,ALL,3799600.23,0.01%
1996,VNM,THA,ALL,1135261.54,0.00%
